id,latitudes/0,latitudes/1,latitudes/2,latitudes/3,longitudes/0,longitudes/1,longitudes/2,longitudes/3,latitudes/4,longitudes/4,,,,,
1,2.980711294,2.98595307,2.980763216,2.980530115,32.53168606,32.53170496,32.5313269,32.53124042,2.980515048,32.53165663,,,,,
2,2.965554116,2.965177167,2.965121927,2.966002719,32.24975581,32.25001674,32.25027776,32.25041817,2.965982687,32.24986992,,,,,s
3,2.961333892,2.961092313,2.961096313,2.961162303,32.24042584,32.24040081,32.24040081,32.24031172,2.960956638,32.24053492,,,,,
4,2.961084677,2.961193065,2.960931713,2.960931713,32.24045514,32.24053653,32.24049046,32.24049046,2.961052613,32.24043991,,,,,
5,2.960978342,2.961101358,2.961127715,2.961034961,32.24053609,32.24038613,32.24055117,32.24057251,2.960997814,32.24046197,,,,,
